group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
CD56bright,XCL1,81.05727,4.0009313,0.0,0.0,0.8558203325904338,0.17376928728875826
CD56bright,RPLP0,73.028534,1.302975,0.0,0.0,0.9963997942739585,0.935635562086701
CD56bright,COTL1,71.849236,4.427883,0.0,0.0,0.7052974455683182,0.07112417340191036
CD56bright,CAPG,71.40506,6.577346,0.0,0.0,0.6567803874507114,0.014842027920646584
CD56bright,RPS2,70.30955,1.0590539,0.0,0.0,0.9981141779530259,0.9562821454812638
CD56bright,RPSA,69.74461,1.1715738,0.0,0.0,0.9943425338590777,0.9201322556943424
CD56bright,XCL2,67.78949,3.000877,0.0,0.0,0.834047659866278,0.23240264511388684
CD56bright,RPS18,66.40674,0.89485186,0.0,0.0,0.996742671009772,0.9741366642174871
CD56bright,RPS8,64.50378,0.82837373,0.0,0.0,0.9963997942739585,0.976120499632623
CD56bright,NME2,61.499283,1.8949817,0.0,0.0,0.9087947882736156,0.4914768552534901
CD56bright,VIM,59.92166,2.058363,0.0,0.0,0.8875364306531802,0.5025716385011021
CD56bright,TCF7,59.85676,3.2853627,0.0,0.0,0.6422081261786388,0.0973548861131521
CD56bright,CLDND1,58.18262,2.1361322,0.0,0.0,0.8256471798388479,0.3142542248346804
CD56bright,GZMK,57.966064,3.9187398,0.0,0.0,0.5866620949768558,0.06252755326965466
CD56bright,RPL10A,57.69543,1.0579683,0.0,0.0,0.9881707526144351,0.8814842027920646
CD56bright,LTB,56.62929,2.183329,0.0,0.0,0.8642208126178639,0.42329169728141075
CD56bright,IFITM2,56.483112,1.4312755,0.0,0.0,0.9753128750214298,0.8081557678177811
CD56bright,GAPDH,56.26038,1.1280265,0.0,0.0,0.9941710954911709,0.9325495958853784
CD56bright,EEF1B2,55.6664,1.1925399,0.0,0.0,0.9842276701525802,0.8119030124908155
CD56bright,RPS5,55.016247,0.9046136,0.0,0.0,0.9893708211897823,0.9204261572373255
CD56bright,MMP25,54.82782,3.7329276,0.0,0.0,0.5556317503857363,0.05951506245407789
CD56bright,RPS24,54.28454,0.69635224,0.0,0.0,0.9960569175381451,0.9723732549595885
CD56bright,TMEM123,53.765617,2.4882987,0.0,0.0,0.6536944968283902,0.15077149155033065
CD56bright,NCAM1,52.343285,2.114144,0.0,0.0,0.7142122406994685,0.22498163115356357
CD56bright,LDHB,52.102028,1.7053198,0.0,0.0,0.8431338933653352,0.4142542248346804
CD56bright,TPT1,51.47832,0.6404337,0.0,0.0,0.9981141779530259,0.9867009551800147
CD56bright,RPS9,51.353115,0.8623957,0.0,0.0,0.9929710269158237,0.9177810433504776
CD56bright,RPL28,51.086533,0.5796923,0.0,0.0,0.9979427395851191,0.983982365907421
CD56bright,RPLP1,50.440342,0.5375311,0.0,0.0,0.9979427395851191,0.9873622336517267
CD56bright,MCUB,50.29613,2.0300174,0.0,0.0,0.687810732041831,0.19426891991182954
CD56bright,CD2,48.820404,1.7571391,0.0,0.0,0.8030173152751586,0.35121234386480527
CD56bright,PPIA,48.33884,0.87462354,0.0,0.0,0.9806274644265387,0.89478324761205
CD56bright,ITGB7,47.405636,1.9555564,0.0,0.0,0.6706668952511572,0.22035268185157972
CD56bright,SH2D1A,46.237926,1.5752394,0.0,0.0,0.818446768386765,0.40213078618662745
CD56bright,IFITM3,46.196136,1.8754828,0.0,0.0,0.6931253214469398,0.2890521675238795
CD56bright,RPS23,46.179035,0.5689437,0.0,0.0,0.9962283559060517,0.9762674504041147
CD56bright,IL12RB2,45.803932,1.7276816,0.0,0.0,0.7027258700497171,0.24856722997795738
CD56bright,AHI1,45.601837,2.016256,0.0,0.0,0.6149494256814675,0.18030859662013227
CD56bright,MATK,45.435253,1.4719608,0.0,0.0,0.8613063603634493,0.4411462160176341
CD56bright,RPL35,45.118694,0.7276798,0.0,0.0,0.99211383507629,0.9322556943423953
CD56bright,TNFSF10,44.91681,1.8557028,0.0,0.0,0.6485513457911881,0.21175606171932404
CD56bright,KIT,44.675068,5.4500723,0.0,0.0,0.41573804217383853,0.0112417340191036
CD56bright,RPS12,44.43785,0.52074355,0.0,0.0,0.9957140408023316,0.9810433504775901
CD56bright,RPL37,44.333828,0.5233526,0.0,0.0,0.9960569175381451,0.9753857457751653
CD56bright,RACK1,44.286583,0.68474406,0.0,0.0,0.9938282187553574,0.9448934606906686
CD56bright,GSTP1,43.54229,1.1005344,0.0,0.0,0.9507971884107663,0.7956649522409993
CD56bright,MIF,42.869865,1.0402311,0.0,0.0,0.9475398594205383,0.7677443056576047
CD56bright,MRPL14,42.7961,1.7568425,0.0,0.0,0.6139207954740271,0.18001469507714915
CD56bright,IL7R,42.57565,4.8310776,0.0,0.0,0.40493742499571406,0.019985304922850847
CD56bright,RPL4,42.521904,0.8532674,0.0,0.0,0.9785702040116578,0.8540778839088905
CD56bright,RPS21,42.48576,0.5714979,0.0,0.0,0.9955426024344248,0.9661278471711976
CD56bright,NPM1,42.4651,1.0207684,0.0,0.0,0.9459969141093777,0.7585598824393828
CD56bright,CXCR3,42.271126,2.7692447,0.0,0.0,0.46425510029144523,0.07244673034533432
CD56bright,ENO1,42.258247,1.3151109,0.0,0.0,0.8594205383164752,0.5587068332108743
CD56bright,CD44,42.20178,1.4281839,0.0,0.0,0.81450368592491,0.40837619397501834
CD56bright,RGS10,42.1581,1.6724453,0.0,0.0,0.6372364135093433,0.21263776634827333
CD56bright,HINT1,41.960472,0.97748804,0.0,0.0,0.9651980113149323,0.7772961058045554
CD56bright,CD96,41.45664,1.2900491,0.0,0.0,0.8827361563517915,0.5110213078618663
CD56bright,MT-CO3,41.44103,0.5321643,0.0,0.0,0.9981141779530259,0.9940484937545923
CD56bright,ATP8B4,41.378223,1.7798334,0.0,0.0,0.5834047659866278,0.17501836884643646
CD56bright,SELL,41.320297,2.1621518,0.0,0.0,0.5573461340648037,0.18119030124908156
CD56bright,HNRNPA1,41.126957,0.8698993,0.0,0.0,0.9783987656437511,0.8410727406318883
CD56bright,SPTBN1,41.120926,1.9116571,0.0,0.0,0.5576890108006172,0.16083761939750182
CD56bright,S100A10,40.63606,1.1053262,0.0,0.0,0.938625064289388,0.6659808963997061
CD56bright,GSN,40.53913,1.6572345,0.0,0.0,0.6161494942568146,0.21410727406318883
CD56bright,S100A11,40.50992,1.2861933,0.0,0.0,0.8650780044573976,0.5152094048493755
CD56bright,PLP2,40.117077,1.8281283,0.0,0.0,0.5587176410080577,0.16811168258633358
CD56bright,IFITM1,40.06141,0.8332816,0.0,0.0,0.9843991085204868,0.9154298310066128
